id,van_ban,tu_vung,giai_nghia_chuan,nghia_tinh_gon,hinh_anh,am_thanh,video,minh_hoa_khac,tu_lien_quan,cau_minh_hoa,ghi_chu
47,"Bài 7: 
Hạt thóc",bình dị,"bình thường, giản dị","bình thường, giản dị",1. bình dị. photo.jpg,,,,"khung cảnh bình dị
con người bình dị
Từ đồng nghĩa: Giản dị, mộc mạc, đơn sơ, chân phương, khiêm nhường
Từ trái nghĩa: Xa hoa, lộng lẫy, phô trương, hào nhoáng, cầu kỳ.
",- Cuộc sống ở làng quê thật bình dị.  ,
48,"Bài 8:
Lũy tre",lũy tre,hàng tre trồng rất dày,"nhiều cây tre trồng thành nhiều hàng, rất dày ",lũy tre.webp,,,,"lũy tre xanh
từ gần nghĩa: Rặng tre, hàng tre, khóm tre, bụi tre, ngàn tre.","- Luỹ tre xanh đứng sừng sững như người gác cổng làng.
- Đầu làng em có một lũy tre xanh mướt.",
49,"Bài 8:
Lũy tre",rì rào,"từ mô phỏng những âm thanh nhỏ, êm nhẹ, phát ra đều đều, liên tiếp như tiếng sóng vỗ, tiếng gió thổi","những âm thanh nhỏ, nhẹ phát ra đều đều, liên tiếp ",,Âm thanh thư giãn - Tiếng gió rì rào,,,"tiếng sóng rì rào
tiếng gió rì rào
rừng cây rì rào","- Tiếng sóng vỗ rì rào
- Gió thổi rì rào qua kẽ lá",
50,"Bài 8:
Lũy tre",bần thần,"kém vẻ linh hoạt vì mệt mỏi hoặc vì đang có điều băn khoăn, lo nghĩ",nhìn kém linh hoạt vì mệt mỏi hoặc vì đang có điều cần suy nghĩ,bần thần.png,,,,"ngồi bần thần
vẻ mặt bần thần","- Bố ngồi bần thần trên ghế vì lo ông ốm
- Vẻ mặt bố bần thần và lo lắng",*
51,"Bài 8:
Lũy tre",nâng,"(1) đưa lên cao
(2) đỡ ai đó dậy","(1) đưa lên cao
(2) đỡ ai đó dậy",nâng.webp,,,,"Nâng đỡ, nâng lên
Từ đồng nghĩa: nhấc, đỡ
Từ trái: Hạ, đặt, buông, vứt, dìm","- Chị ngã em nâng
- Bố đang nâng tạ",
52,"Bài 9:
Vè chim",lon xon *,"gợi tả dáng đi, chạy với những bước ngắn, nhanh nhẹn, hồ hởi","tả dáng đi, chạy nhanh, trông rất đáng yêu",,, 2.lon ton. video.mp4,,"lon ton, lon xon","- Bé chạy lon ton theo mẹ
- Chú chó chạy lon ton theo chân em đi chơi",*
53,"Bài 9:
Vè chim",sáo,"chim nhỏ, lông đen có điểm trắng ở cánh, thường sống thành đàn
","loài chim nhỏ, lông đen có vệt trắng ở cánh, sống thành đàn
",https://drive.google.com/file/d/1-e24dP_4a9iPgUw5iMTo_Oo2mbVrcBuz/view?usp=sharing,,,,"chim sáo hót ríu rít
chim sáo đậu trên cành cây
chim sáo bay lượn trên bầu trời","- Đàn chim sáo đua nhau hót ríu rít
- Chim sáo đậu trên cành cây xem em học bài",
54,"Bài 9:
Vè chim",con liếu điếu * (có ảnh),"Con Liếu Điếu là một loài chim nhỏ, dài khoảng 12–15 cm, với bộ lông mượt mà, mềm mại, kết hợp ba màu chính: trắng, nâu đỏ và xám. ","loài chim có bộ lông 3 màu: trắng, nâu đỏ và xám",chim liếu điếu.jpg,,,,"con liếu điếu hót líu lo
con liếu đậu trốn trong các bụi cây","- Buổi sáng, chim liếu điều đang đi tìm thức ăn cho ngày mới
- Trong bụi tre, mấy chú liếu điếu đang đùa nghịch.",
55,"Bài 9:
Vè chim",tếu,"có cử chỉ, lời nói vui nhộn, cố tình gây cười một cách nghịch ngợm, nhiều khi thiếu nghiêm chỉnh","cử chỉ hài hước, vui nhộn",https://drive.google.com/file/d/1ll_6eUhEqFXZCyu4j1Y-rFS7M0RGEyX5/view?usp=sharing,,,,"nói chuyện tếu
kể chuyện tếu
đồng nghĩa: hài hước, vui tính, hóm hỉnh, nghịch ngợm, tếu táo
trái nghĩa: nghiêm nghị, lầm lì, khó tính, nhạt nhẽo","- Chú hề làm những trò rất tếu
- Bố em hay kể những câu chuyện tếu làm cả nhà cùng cười.",
56,"Bài 9:
Vè chim",con chìa vôi,"loài chim đồng cỡ nhỏ, lông đen, đuôi và cánh có vệt trắng, đuôi luôn cử động, ăn sâu bọ","loài chim nhỏ ăn sâu bọ, có lông đen, đuôi và cánh có vệt trắng",https://drive.google.com/file/d/1Xd_xIQNLw39TFqqRQW2abd6IsNzI2rJz/view?usp=sharing,,,,chim chìa vôi đậu ở bờ ao,"- Ngoài đồng, chim chìa vôi bay đi tìm thức ăn.
- Chú chim chìa vôi vừa hót vừa ngoáy cái đuôi dài",
57,"Bài 9:
Vè chim",chim chèo bẻo,"chim lông đen, cánh dài, đuôi dài chẻ thành hai nhánh, hay ăn sâu bọ.","loài chim ăn sâu bọ, lông đen, cánh dài, đuôi dài chẻ thành hai nhánh ",https://drive.google.com/file/d/10L3G_grbESkLYhKlOCXDphzUcmjrpLAF/view?usp=sharing,,,,"chèo bẻo đánh quạ
chèo bẻo bay lượn
tiếng hót líu lo
bộ lông đen tuyền","- Con chim chèo bẻo có cái đuôi dài, bay lượn rất uyển chuyển.",
58,"Bài 9:
Vè chim",mách lẻo,"nói cho người này chuyện riêng của người khác một cách không cần thiết, thường với dụng ý không tốt ",nói chuyện của người này cho người khác,https://drive.google.com/file/d/1q1wiuXOERimMlkzpKs6Hi32aofD8FiZR/view?usp=sharing,,,,"thói mách lẻo
hay mách lẻo
mách lẻo với cô giáo/bố mẹ
mách lẻo chuyện của người khác","- Mách lẻo chuyện của người khác là thói quen không tốt.
- Không nên mách lẻo chuyện của người khác
- Bạn Tú có tính hay mách lẻo nên mọi người không thích.",
59,"Bài 9:
Vè chim",(nhặt) lân la *,"tìm cách tiếp cận dần dần từng bước, tạo ra một mối quan hệ tiếp xúc gần gũi, nhằm thực hiện mục đích nhất định","nhặt xung quanh, không đi xa",,,  3. lân la. video.mp4,,"lân la nói chuyện
lân la tiếp cận
lân la lại gần","- Những chú chim lân la nhặt lá 
- Các bác hàng xóm lân la lại gần nói chuyện",*
60,"Bài 9:
Vè chim",chim sẻ,"chim nhỏ, lông màu hạt dẻ, có vằn, mỏ hình nón, thường sống thành đàn, ăn các hạt ngũ cốc","loài chim nhỏ lông màu hạt dẻ, sống thành đàn, ăn các loại hạt ngũ cốc",chim sẻ.jpg,,,,"chú chim sẻ nhỏ
chim sẻ bay lượn","- Chim sẻ đậu trên mái nhà kêu ríu rít
- Con chim sẻ nhỏ bé nhưng rất nhanh nhẹn",
61,"Bài 9:
Vè chim",chim sâu,"chim nhỏ, lông xanh xám, thường sống ở các bụi cây, ăn sâu nhỏ","loài chim nhỏ lông xanh xám, thường sống ở các bụi cây, ăn sâu nhỏ",chim sâu.png,,,,"chim sâu bắt sâu
vạch lá tìm sâu
chim sâu chuyền cành
chim sâu  kêu lách chách
","- Buổi sáng, chim sâu hót líu lo trong vườn.
- Chim sâu bay từ cành này sang cành khác tìm thức ăn",
62,"Bài 9:
Vè chim",tu hú,"chim có lông màu đen hoặc đen nht có nhiều chấm trắng, thường đẻ trứng vào tổ sáo sậu hoặc chim ác và kêu vào đầu mùa hè ","loài chim có lông màu đen hoặc đen nhạt có nhiều chấm trắng, thường kêu vào đầu mùa hè ",tu hú chấm trắng.jpg,,,,"tu hú gọi bầy
tiếng tu hú vang vọng
tiếng kêu khắc khoải
tu hú báo hiệu mùa hè sang","- Tiếng chim tu hú vang lên báo hiệu mùa hè đã đến.
- Khi tiếng chim tu hú gọi bầy, vườn vải quê em đã chín đỏ.",
63,"Bài 9:
Vè chim",cú mèo,cú có 2 túm lông trên đầu giống như tai mèo,loài cú có 2 túm lông trên đầu giống như tai mèo,https://drive.google.com/file/d/1FMoVaBhFJN5UyQAd54ajHqUWscoTJSVv/view?usp=sharing,,,,"Đôi mắt to tròn
mặt giống mặt mèo
bộ lông màu nâu xám
sống trong hốc cây","- Tiếng cú mèo vang lên trong khu rừng yên tĩnh
- Cú mèo lặng lẽ bay trong đêm như một người gác rừng",
64,"Bài 10:
Khủng long",khủng long,loài bò sát lớn cổ xưa nay đã bị tuyệt diệt.,"loài động vật bò sát to lớn, ăn thịt, đã tuyệt chủng",https://drive.google.com/file/d/1IuRrxaz1POiBFYmoSKuu5jn-sU9V3J6s/view?usp=sharing,,,,"Khủng long bạo chúa
Khủng long ăn cỏ
Khủng long ăn thịt","- Khủng long rất to lớn và đáng sợ
- Khủng long là loài động vật ăn thịt ",
65,"Bài 10:
Khủng long",khổng lồ,"có kích thước, quy mô, khối lượng lớn gấp nhiều lần so với bình thường","có số lượng, quy mô, kích thước vô cùng lớn",https://drive.google.com/file/d/1FhYg2oQR9-M9WcIQ8Y20fQLLWOgFOWXh/view?usp=sharing,,,,"- đồng nghĩa: đồ sộ, to lớn
- trái nghĩa: tí hon, tí xíu","- Tòa nhà khổng lồ cao vút giữa thành phố
- Một con khủng long khổng lồ xuất hiện trong bộ phim",
66,"Bài 10:
Khủng long",tự vệ *,sự bảo vệ mình chống lại mọi sự xâm phạm từ bên ngoài,sự tự bảo vệ bản thân,4. tự vệ. photo.webp,,,,"võ tự vệ
học cách tự vệ",- Ai cũng cần biết cách tự vệ,*
67,"Bài 10:
Khủng long",dũng mãnh *,dũng cảm và mạnh mẽ một cách phi thường,rất dũng cảm và mạnh mẽ ,dũng mãnh.png,,,," Từ đồng nghĩa: dũng cảm, mạnh mẽ
Từ trái nghĩa: Yếu đuối, nhát gan","- Thánh Gióng dũng mãnh nhổ cây tre đánh tan quân thù. 
- Đại bàng sải cánh dũng mãnh",*
68,"Bài 10:
Khủng long",tuyệt chủng *,bị mất hẳn nòi giống,sự biến mất hoàn toàn của một loài động vật hoặc thực vật,,,tuyệt chủng ,,"động vật tuyệt chủng
nguy cơ tuyệt chủng","- Khủng long là loài vật đã tuyệt chủng
- Hiện nay có rất nhiều loài động vật trong sách đỏ đang có nguy cơ tuyệt chủng",*
69,"Bài 11: 
Sự tích cây thì là",mảnh khảnh,"cao, gầy và mảnh, trông yếu","cao, gầy và mảnh, trông yếu",https://drive.google.com/file/d/1kbZbFxKVxHtYCdIrWlmmhh3eR3BVPbtR/view?usp=sharing,,,,"vóc dáng mảnh khảnh
dáng người mảnh khảnh 
vóc dáng mảnh khảnh","- Cô bé có dáng người mảnh khảnh và bước đi nhẹ nhàng.
- Bạn Lan trông rất mảnh khảnh trong bộ áo dài trắng.",*
70,"Bài 11: 
Sự tích cây thì là",nhỏ xíu,"rất nhỏ, như không còn nhỏ hơn được nữa","rất nhỏ, như không còn nhỏ hơn được nữa",https://drive.google.com/file/d/1VpDRQtI7TdyxyVj1Nfxyi05oOVLWIk7f/view?usp=sharing,,,,"- đồng nghĩa: bé tí, tí xíu
- trái nghĩa: to tướng, to đùng, khổng lồ","- Con kiến nhỏ xíu bò trên mặt bàn.
- Bé có bàn tay nhỏ xíu
- Ngôi nhà nhỏ xíu nằm bên bờ sông.",
71,Bài 12: Bờ tre đón khách,bồ nông,"chim cỡ lớn, mỏ to và dài, cổ có bìu đựng mồi kiếm được, sống từng đàn ở bờ sông, bờ biển, thường bắt cá ăn.","loài chim cỡ lớn, mỏ to và dài, cổ có bìu đựng mồi kiếm được, sống theo đàn ở bờ sông, bờ biển, thường bắt cá ăn.",https://drive.google.com/file/d/1KK6onSVb21URFDB8uF7AlKZ4kMg38u9t/view?usp=sharing,,,,"bồ nông mò cá
bồ nông đựng cá
đàn bồ nông ","- Con bồ nông bay quanh những chiếc thuyền chờ bắt cá.
- Bồ nông có chiếc mỏ rất dài và to.",
72,Bài 12: Bờ tre đón khách,bói cá,"chim sống ở gần nước, mỏ dài, lông xanh, ngực nâu, hay nhào xuống nước để bắt cá.","loài chim mỏ dài, lông xanh, ngực nâu, hay nhào xuống nước để bắt cá",https://drive.google.com/file/d/1nDAWijpCirt-jpjyQGLasmUcFs8mSOdH/view?usp=sharing,,,,"bói cá rình mồi 
bói cá bay lượn","- Con bói cá lao xuống nước rất nhanh để bắt mồi.
- Bói cá có bộ lông nhiều màu sắc rất đẹp.",
73,Bài 12: Bờ tre đón khách,chim cu,"loài chim có vòng lông quanh cổ trông như hạt cườm, thường hay gáy cúc cu cu.","loài chim có vòng lông quanh cổ trông như hạt cườm, thường hay gáy cúc cu cu.",https://drive.google.com/file/d/1A3sHHjggAt83vqWRSkomYVwbL7onZqUH/view?usp=sharing,,,,"chim cu gáy
tiếng gáy cúc cù cu
vòng cườm ở cổ","- Con chim cu có bộ lông xám và cổ có vệt đen trắng.
- Ông em nuôi một con chim cu trong lồng tre.",
74,"Bài 13:
Tiếng chổi tre",chổi tre,"Cái chổi làm bằng tre, dùng để quét nhà",Chổi làm bằng tre,Chổi tre.jpg,,,,,Bà có cái chổi tre,
75,"Bài 13:
Tiếng chổi tre",xao xác*,"Tiếng cánh chim vỗ, tiếng gà gáy, v.v. nối tiếp nhau làm xao động cảnh không gian vắng lặng",Âm thanh nối tiếp nhau làm xao động âm thanh vắng lăngj,,, xao xạc.mp4,,"Tiếng lá xao xác 
Tiếng chim xao xác 
Âm thanh xao xác ",Tiếng lá mùa thu xao xác không ngừng,*
76,"Bài 13:
Tiếng chổi tre",cơn giông,"hiện tượng thời tiết phức hợp, xảy ra do sự đối lưu rất mạnh trong khí quyển, đặc trưng bởi sấm sét, chớp, gió mạnh, mưa rào, và đôi khi có mưa đá hoặc vòi rồng","Cơn mưa lớn, rất nguy hiểm ",Cơn dông.webp,,,,"Cơn giông kéo đến
Trời nổi cơn giông
Báo hiệu cơn giông sắp tới/sắp qua",Cơn giông ngày một lớn dần,
77,"Bài 13:
Tiếng chổi tre",lặng ngắt,"Im lặng hoàn toàn, tuyệt đối","Im lặng, không có âm thanh",,, lặng ngắt.mp4,,"Không gian lặng ngắt
Trở nên lặng ngắt
Bầu không khí lặng ngắt

- Từ đồng nghĩa: Tĩnh lặng, im thin thít","Đêm đến, ngôi trường trở nên lặng ngắt",
78,"Bài 13:
Tiếng chổi tre",chị/ cô lao công,"Người làm việc chân tay đơn giản (như quét dọn, làm vệ sinh, v.v.) ở cơ quan, xí nghiệp.","Người quét dọn, làm vệ sinh, v.v.",co-lao-cong-700-1713865316.jpg,,,,"Cô lao công chăm chỉ

- Từ đồng nghĩa: Nhân viên dọn dẹp, nhân viên vệ sinh",Cô lao công trường em rất chăm chỉ và cẩn thận,*
79,"Bài 13:
Tiếng chổi tre",rét,"Nghĩa 1: Chỉ thời tiết có nhiệt độ thấp đến mức cơ thể cảm thấy khó chịu
Nghĩa 2: Có cảm giác lạnh trong người, thường khiến cho phải run lên",Trái nghĩa với ấm ,Rét.avif,,,,"- Từ đồng nghĩa: Lạnh, cóng, buốt

- Từ trái nghĩa: Nóng, ấm",Mùa đông trời rất rét,
80,"Bài 14: 
Cỏ non cười rồi",bừng tỉnh *,"diễn tả hành động tỉnh giấc, mở mắt thức dậy một cách đột ngột, nhanh chóng và hoàn toàn, thường do tác động mạnh từ bên ngoài (tiếng ồn, ánh sáng) hoặc nội tại (giật mình, nỗi sợ)",Tỉnh giấc một cách nhanh chóng,,, bừng tỉnh.video.mp4,,"- Từ đồng nghĩa: Thức tỉnh, tỉnh dậy",Em bừng tỉnh khỏi giấc ngủ,
81,"Bài 14: 
Cỏ non cười rồi",ấm áp,Ấm và gây cảm giác dễ chịu,Ấm và gây cảm giác dễ chịu,ấm.jpg,,,,"- Từ trái nghĩa: lạnh, rét, cóng, buốt",Thời tiết trở nên ấm áp,
82,"Bài 14: 
Cỏ non cười rồi",chim én,"Tên một loài chim di cư nhỏ, nổi bật với đôi cánh nhọn, đuôi chẻ sâu, bay nhanh và chuyên săn côn trùng trên không","Tên loài chim nhỏ có đôi cánh chẻ nhọn, báo mùa xuân về",Chim én.webp,,,,Chim én báo xuân,"Mùa xuân, chim én bay trở về",
83,"Bài 14: 
Cỏ non cười rồi",sửa soạn*,Lo liệu và sắp đặt các thứ để làm việc gì đó,"Chuẩn bị, sắp xếp ",,, sửa soạn.mp4,,"Sửa soạn quần áo
Sửa soạn hành lý
Sửa soạn sách vở

- Từ đồng nghĩa: Chuẩn bị, sắp xếp",Em sửa soạn sách vở để ngày mai đi học,
84,"Bài 14: 
Cỏ non cười rồi",khóc nấc*,Tiếng khóc đứt quãng bởi tiếng nấc,Tiếng khóc đứt quãng bởi tiếng nấc,,,,,"Tiếng khóc nấc
Âm thanh khóc nấc

- Từ đồng nghĩa: nức nở",Em bé khóc nấc vì không thấy mẹ ,
85,"Bài 14: 
Cỏ non cười rồi",thút thít*,"Từ gợi tả tiếng khóc nhỏ và ngắt quãng, xen với tiếng xịt mũi",Âm thanh tiếng khóc nhỏ,,, thút thít.mp4,,"Tiếng khóc thút thít
Âm thanh khóc thút thít",Tiếng khóc thút thít vọng ra từ góc lớp,*
86,"Bài 14: 
Cỏ non cười rồi",yên tâm*,"Trạng thái tâm lí yên ổn, không có gì phải băn khoăn, lo lắng","Cảm giác yên ổn, không có gì phải lo lắng",yên tâm.jpg,,,,"- Từ đồng nghĩa: Yên lòng, an tâm

- Từ trái nghĩa: Lo lắng, lo âu",Mẹ yên tâm khi thấy em đi vào lớp,
87,"Bài 14: 
Cỏ non cười rồi",nhoẻn miệng,"Miệng nhếch lên, tạo thành nụ cười ","Miệng nhếch lên, tạo thành nụ cười ",Nhoẻn miệng.webp,,,,"Nhoẻn miệng cười

- Từ đồng nghĩa: Nhếch miệng",Mẹ nhoẻn miệng cười khi em được điểm tốt,
88,"Bài 15: 
Những con sao biển",sao biển,"Một loài sinh vật sống dưới biển, có hình ngôi sao",Sinh vật dưới nước có hình ngôi sao,sao biển.webp,,,,"Con sao biển 
Chú sao biển",Con sao biển kia có màu vàng,
89,"Bài 15: 
Những con sao biển",thủy triều*,"Hiện tượng nước biển dâng lên rút xuống một hai lần trong ngày, chủ yếu do sức hút của Mặt Trăng và Mặt Trời","Hiện tượng nước biển dâng lên rút xuống, bị ảnh hưởng bởi Mặt Trăng và Mặt Trời",,,thủy 5i4u,,"Thủy triều dâng lên
Thủy triều hạ xuống
Hiện tượng thủy triều","Trời tối, thủy triều dâng lên",*
90,"Bài 15: 
Những con sao biển",đại dương,"Biển lớn, tiếp giáp với cả một châu hoặc một vùng lớn hơn",Vùng biển lớn,Đại dương.webp,,,,"Đại dương bao la
Đại dương bát ngát
Đại dương rộng lớn

- Từ đồng nghĩa: Biển cả",Đại dương là nơi rất rộng lớn,
91,"Bài 15: 
Những con sao biển",trìu mến*,Biểu lộ tình yêu thương tha thiết,Cái nhìn yêu thương,trìu mến.jpg,,,,"- Từ đồng nghĩa: Dịu dàng, âu yếm, yêu thương

- Từ trái nghĩa: căm ghét, ghét bỏ",Bà luôn nhìn em thật trìu mến,
92,"Bài 16:
Tạm biệt cánh cam",cánh cam,"Bọ cánh cứng cùng họ với bọ hung, thân màu xanh biếc.","Bọ cánh cứng, thân màu xanh biếc.",cánh cam.webp,,,,"Bọ cánh cam
Con bọ cánh cam
Loài bị cánh cam",Con bọ cánh cam đậu lên bông hoa nhỏ,
93,"Bài 16:
Tạm biệt cánh cam",tập tễnh*,"Chỉ dáng đi không cân, không đều, bên cao bên thấp, vẻ ngả nghiêng, dễ ngã","Dáng đi bên cao bên thấp, vẻ ngả nghiêng, dễ ngã",,, tập tễnh.mp4,,"Dáng đi tập tễnh
Bước đi tập tễnh

- Từ đồng nghĩa: Khập khiễng",Em bé tập tễnh tập đi,*
94,"Bài 16:
Tạm biệt cánh cam",óng ánh,"Phản chiếu ánh sáng lấp lánh, trông đẹp mắt","Ánh sáng lấp lánh, trông đẹp mắt",óng ánh.webp,,,,"- Từ đồng nghĩa: Lấp lánh, long lanh, lung linh",Viên bi dưới ánh nắng trông óng ánh thật đẹp,*
95,"Bài 16:
Tạm biệt cánh cam",khệ nệ*,Dáng đi chậm chạp và nặng nề như đang phải mang vác nặng,Dáng đi chậm chạp và nặng nề như đang phải mang vác nặng,,, khệ nệ - mute (1).mp4,,"Dáng đi khệ nệ
Bước đi khệ nệ
Khệ nệ khiêng/bê/ôm...",Bố khệ nệ khiêng bàn ra sân,*
96,"Bài 16:
Tạm biệt cánh cam",tròn lẳn,"Rất tròn, rất dễ lăn ","Rất tròn, rất dễ lăn ",Tròn lẳn.webp,,,,"Quả bóng tròn lẳn

- Từ đồng nghĩa: Tròn xoe, tròn vo",Quả bóng tròn lẳn lăn xuống dốc,
97,"Bài 16:
Tạm biệt cánh cam",cẩn thận*,"Thận trọng trong hành động hoặc lời nói của mình, tránh sơ suất, để khỏi xảy ra điều bất lợi hoặc không hay","chú ý trong hành động hoặc lời nói của mình, tránh xảy ra điều không hay",,,,,"- Từ trái nghĩa: ẩu, vội vàng, hấp tấp",Cẩn thận là một đức tính tốt,
98,"Bài 16:
Tạm biệt cánh cam",ngơ ngác*,Ở trạng thái không định thần được trước cảnh vật quá xa lạ hoặc sự việc diễn biến quá bất ngờ,Cảm thấy khó hiểu trước những sự việc bất ngờ diễn ra,ngơ ngác.jpg,,,,"Trông ngơ ngác
Nhìn ngơ ngác",Bạn An ngơ ngác khi biết mình được điểm 10,
99,"Bài 16:
Tạm biệt cánh cam",hi vọng*,Tin tưởng và mong chờ điều tốt đẹp đến,Tin tưởng và mong chờ điều tốt đẹp đến,https://drive.google.com/file/d/1KbXZ_MRY_yB09kq2ctBQzhjknGO1MUHE/view?usp=drivesdk,,,,"Có hi vọng
Luôn hi vọng

- Từ trái nghĩa: Tuyệt vọng",Em hi vọng mình sẽ được tặng một quyển truyện cổ tích vào ngày sinh nhật,
100,"Bài 17:
Những cách chào độc đáo",phổ biến,"Có tính chất chung, có thể áp dụng cho cả một tập hợp các sự vật, hiện tượng","Có những đặc điểm, chi tiết giống nhau giữa các sự vật, hiện tượng",phổ biến.jpg,,,,"- Từ đồng nghĩa: Đại trà

- Từ trái nghĩa: Độc đáo, mới lạ","Ngày nay, áo phông là loại áo vô cùng phổ biến",
101,"Bài 17:
Những cách chào độc đáo",đặc biệt,"Khác hẳn những trường hợp thông thường về tính chất, chức năng hoặc mức độ","Sự khác biệt không phải sự vật, hiện tượng nào cũng có",đặc biệt.jpg,,,,"Vô cùng đặc biệt
Rất đặc biệt

- Từ trái nghĩa: Bình thường",Đây là một loài chim có bộ lông vô cùng đặc biệt,
102,"Bài 17:
Những cách chào độc đáo",nhẹ nhàng,"Có tính chất nhẹ, không gây cảm giác gì nặng nề hoặc khó chịu",Trái ngược với nặng,nhẹ nhàng.jpg,,,,"- Từ đồng nghĩa: Dịu dàng, hiền hòa

- Từ trái nghĩa: Hung dữ, hùng hổ, dữ tợn, mạnh mẽ",Đây là một công việc rất nhẹ nhàng,
103,"Bài 17:
Những cách chào độc đáo",truyền thống,"Thói quen hình thành đã lâu đời trong lối sống và nếp nghĩ, được truyền lại từ thế hệ này sang thế hệ khác","Những sự vật, sự kiện, hiện tượng được truyền lại từ các đời trước","Truyền thống.jpg
truyền thống 2.jpg",,,,"Truyền thống tốt đẹp
Truyền thống lâu đời
Giữ gìn truyền thống",Gói bánh chưng ngày Tết là một trong những truyền thống của nước ta,
104,"Bài 17:
Những cách chào độc đáo",giao tiếp,"Trao đổi, tiếp xúc với nhau","Trao đổi, tiếp xúc với nhau",giao tiếp.jpg,,,,"- Từ đồng nghĩa: Giao lưu, trò chuyện, nói chuyện",Em thường giao tiếp với bạn bè,
105,"Bài 18:
Thư viện biết đi",thư viện,"Nơi lưu giữ sách báo, tài liệu với số lượng lớn và tổ chức cho bạn đọc sử dụng","Nơi lưu giữ sách báo, tài liệu với số lượng lớn",giao tiếp.jpg,,,,"Đến thư viện
Mượn sách ở thư viện
Đọc sách ở thư viện",Em rất thích đến thư viện đọc sách,
106,"Bài 18:
Thư viện biết đi",thế giới,"Trái Đất, nơi toàn thể loài người đang sinh sống","Trái Đất, nơi toàn thể loài người đang sinh sống",Thế giới.webp,,,,"Thế giới hòa bình
Thế giới rộng lớn

- Từ đồng nghĩa: Trái đất, quả đất",Thế giới hòa bình là mong ước của rất nhiều người,
107,"Bài 18:
Thư viện biết đi",khổng lồ,"Có kích thước, quy mô, khối lượng lớn gấp nhiều lần so với bình thường",Rất to lớn,khổng lồ.jpg,,,,"- Từ đồng nghĩa: To lớn

- Từ trái nghĩa: Bé nhỏ, tí hon, nhỏ nhắn",Ngọn núi Everest thật là khổng lồ,
108,"Bài 18:
Thư viện biết đi",di động,Chuyển động thay đổi vị trí,Chuyển động thay đổi vị trí,,, di động.mp4,,"- Từ đồng nghĩa: Di chuyển, chuyển động, cử động

- Từ trái nghĩa: Đứng yên, đứng im",Thư viện di động đi khắp nơi trên đất nước,*
109,"Bài 18:
Thư viện biết đi",người thủ thư,Người quản lí sách của thư viện.,Người quản lí sách của thư viện.,Thủ thư.webp,,,,"Quản lí thư viện
Sắp xếp sách
Trông coi thư viện",Người thủ thư ở thư viện trường em rất dịu dàng,*
110,"Bài 18:
Thư viện biết đi",sa mạc,"Vùng rộng lớn có khí hậu rất khô, không có nước, hầu như không có cây cối và động vật sinh sống, trừ ở một số ốc đảo","Nơi rộng lớn, ít cây xanh, thời tiết rất nóng bức",Sa mạc.webp,,,,"Sa mạc nóng bức
Sa mạc rộng lớn
Sa mạc khô cằn",Trên sa mạc có rất nhiều cát,*
111,"Bài 19;
Cảm ơn anh hà mã",phật ý,không vui vì không được vừa ý,không vui vì không được vừa ý,,,,,"Cụm từ: làm ai phật ý, tỏ ra phật ý

Từ đồng nghĩa: giận lòng, mất lòng

Từ gần nghĩa: không hài lòng, bực bội

Từ trái nghĩa: hài lòng, vui lòng

Cụm từ thường dùng: sợ làm người khác phật ý","Em xin lỗi vì đã làm mẹ phật ý.

Bạn Lan sợ nói thẳng sẽ làm bạn mình phật ý.

Cô giáo nhẹ nhàng góp ý để không làm học sinh phật ý",*
112,"Bài 19;
Cảm ơn anh hà mã",lịch sự,"có thái độ nhã nhặn, lễ độ trong xã giao, phù hợp với quan niệm và phép tắc chung của xã hội","là cách cư xử nhẹ nhàng, lễ phép với người khác",ảnh - lịch sự.png,,video - lịch sự.mp4,,"Cụm từ: cư xử lịch sự, nói chuyện lịch sự

Từ đồng nghĩa: lễ phép, nhã nhặn

Từ gần nghĩa: tôn trọng, hòa nhã

Từ trái nghĩa: thô lỗ, bất lịch sự

Cụm từ thường dùng: thái độ lịch sự","Bạn Nam luôn nói chuyện rất lịch sự.

Chúng ta cần cư xử lịch sự với mọi người.

Em chào hỏi người lớn một cách lịch sự.",*
