id,van_ban,tu_vung,giai_nghia_chuan,nghia_tinh_gon,hinh_anh,am_thanh,video,minh_hoa_khac,tu_lien_quan,cau_minh_hoa,ghi_chu
155,"Bài 26:
Trên các miền đất nước",khám phá,"tìm ra, phát hiện ra cái còn ẩn giấu, cái bí mật.","tìm tòi, phát hiện ra cái mới",https://drive.google.com/file/d/1FBHQZTl_1zvrj88JaCQgbP0eo2nM7cwh/view?usp=drive_link,,,,"Cụm từ: khám phá
Từ đồng nghĩa: phát hiện, tìm ra, phát kiến
Từ gần nghĩa: phát hiện
Từ trái nghĩa: che giấu, bỏ qua
Cụm từ thường dùng: khám phá thế giới","- Chúng em khám phá thiên nhiên.

- Bé thích khám phá xung quanh.",
156,"Bài 26:
Trên các miền đất nước",mến thương,"có tình cảm yêu thương, gắn bó",có tình cảm yêu thương,https://drive.google.com/file/d/1TwbZ8joPedZREGGe0_mYONwfhrFVqA2y/view?usp=drive_link,,,,"Cụm từ: mến thương
Từ đồng nghĩa: yêu thương, quý mến, thương yêu
Từ gần nghĩa: yêu thương
Từ trái nghĩa: ghét bỏ, căm ghét
Cụm từ thường dùng: tình cảm mến thương",- Em mến thương bạn bè.                                                                                   - Mọi người phải luôn mến thương nhau,
157,"Bài 27:
Chuyện quả bầu",con dúi,"Loài thú nhỏ, ăn củ và rễ cây, sống trong hang đất","Loài thú nhỏ, ăn củ và rễ cây, sống trong hang đất",https://drive.google.com/file/d/1OxouBsKBuWSOCu4LzQe7YtKO2p4fi7bo/view?usp=drive_link,,,,"Cụm từ: con dúi
Từ đồng nghĩa: dúi, chuột dúi
Từ gần nghĩa: chuột rừng
Từ trái nghĩa: (không có từ trái nghĩa trực tiếp)
Cụm từ thường dùng: con dúi trong rừng ","- Con dúi đào hang sâu để trú ẩn và kiếm thức ăn.
- Em nhìn thấy con dúi chạy nhanh vào bụi tre.
- Con dúi là loài động vật sống chủ yếu ở rừng núi.",*
158,"Bài 27:
Chuyện quả bầu",thương tình,chạnh lòng thương cảm một cách sâu sắc trước tình cảnh của người nào đó,thương cảm với hoàn cảnh của người khác,https://drive.google.com/file/d/1TwbZ8joPedZREGGe0_mYONwfhrFVqA2y/view?usp=drive_link,,,,"Cụm từ: thương tình
Từ đồng nghĩa: thương xót, cảm thương, động lòng
Từ gần nghĩa: thương xót
Từ trái nghĩa: thờ ơ, lạnh lùng
Cụm từ thường dùng: xin thương tình giúp đỡ",- Mọi người thương tình giúp đỡ em nhỏ.                                                                                                                                - Mọi người thương tình tha lỗi cho em.,
159,"Bài 27:
Chuyện quả bầu",nương,"(1) đất trồng trọt trên vùng đồi, núi hoặc bãi ven sông                                                                              
(2) dựa vào để có được sự che chở, giúp đỡ","(1) đất trồng trọt trên vùng đồi, núi hoặc bãi ven sông                                                                              (2) dựa vào để có được sự che chở, giúp đỡ",https://drive.google.com/file/d/1bqGhoYQ8YogK5LWTTHYf1b4R9oUMwv4Z/view?usp=drive_link,,,,"Cụm từ: nương
Từ đồng nghĩa: dựa, nhờ, tựa, nương rẫy
Từ gần nghĩa: dựa, nương rẫy
Từ trái nghĩa: chống lại, tự lập
Cụm từ thường dùng: nương tựa lẫn nhau, làm nương rẫy",- Lúa trên nương đã chín vàng .                                                                                                                                          - Chị em nương tựa lẫn nhau.,*
160,"Bài 27:
Chuyện quả bầu",lũ lụt,"Lũ lụt là một loại thiên tai xảy ra do hiện tượng nước trong sông, suối, hồ tràn ngập một vùng đất.","hiện tượng nước sông, suối, hồ tràn ngập đất liền.",https://drive.google.com/file/d/1DtYNjzNs89J41RcOlf6CVrcXLNF2GZrN/view?usp=sharing,,,,"Cụm từ: lũ lụt
Từ đồng nghĩa: ngập lụt, lụt lội
Từ gần nghĩa: ngập nước
Từ trái nghĩa: hạn hán
Cụm từ thường dùng: thiên tai lũ lụt",- Lũ lụt gây nhiều hậu quả nặng nề.                                                                                                                          - Người dân phòng tránh lũ lụt.,
161,"Bài 27:
Chuyện quả bầu",mênh mông,Mênh mông là rộng lớn tới mức không có giới hạn,"Rộng lớn, bao la",https://drive.google.com/file/d/19lkErGQaVD1Vx2ZEnebreaCxsOh3zkNU/view?usp=sharing,,,,"Cụm từ: mênh mông
Từ đồng nghĩa: bát ngát, bao la, rộng lớn
Từ gần nghĩa: bát ngát
Từ trái nghĩa: chật hẹp, nhỏ bé
Cụm từ thường dùng: cánh đồng mênh mông",- Cánh đồng lúa mênh mông.                                                                                                                                                       - Núi rừng mênh mông hùng vĩ.,
162,"Bài 27:
Chuyện quả bầu",thoát nạn,Vượt qua khỏi nguy hiểm,vượt khỏi nguy hiểm,https://drive.google.com/file/d/18eLhh9Xa9iGrgVt1xQ4uIfkLDFGCVUPd/view?usp=sharing,,,,"Cụm từ: thoát nạn
Từ đồng nghĩa: thoát hiểm, tránh nạn, thoát khỏi nguy hiểm
Từ gần nghĩa: thoát hiểm
Từ trái nghĩa: gặp nạn, mắc nạn
Cụm từ thường dùng: may mắn thoát nạn","- Chú mèo may mắn thoát nạn trong đám cháy.                                                                                                                - Nhờ mọi người giúp đỡ, tôi đã may mắn thoát nạn.",
163,"Bài 27:
Chuyện quả bầu",lao xao,"có nhiều âm thanh hoặc tiếng động nhỏ rộn lên xen lẫn vào nhau, nghe không rõ, không đều","nhiều âm thanh nhỏ vang lên rộn ràng, xen lẫn nhau, nghe không rõ từng tiếng",,, lao xao.mp4,,"Cụm từ: lao xao
Từ đồng nghĩa: xào xạc, rì rào, xôn xao
Từ gần nghĩa: xôn xao
Từ trái nghĩa: yên ắng, im lặng
Cụm từ thường dùng: lá cây lao xao",- Gió thổi làm lá lao xao.                                                                                                               - Ngoài sân vang lên tiếng lao xao.,
164,"Bài 27:
Chuyện quả bầu",lần lượt,(làm việc gì) theo thứ tự trước sau cho đến hết,Theo trình tự,https://drive.google.com/file/d/1iJZ6Y9FLivx5-HVWaZA6acYavJR21Rgn/view?usp=drive_link,,,,"Cụm từ: lần lượt
Từ đồng nghĩa: kế tiếp, tiếp theo, nối tiếp
Từ gần nghĩa: tiếp theo
Từ trái nghĩa: đồng loạt, cùng lúc
Cụm từ thường dùng: lần lượt bước vào",- Các bạn học sinh lần lượt xếp hàng vào lớp.                                                                                                    - Khách hàng lần lượt ra về.,
165,"Bài 27:
Chuyện quả bầu",tổ tiên,Những người đầu tiên sinh ra một dòng họ hoặc một dân tộc,Tổ tiên là những người thuộc các thế hệ trước của một dòng họ hoặc một dân tộc,https://drive.google.com/file/d/16V9XI3TH3DuV0hChZDqjP7_r4Oq4KOAJ/view?usp=drive_link,,,,"Cụm từ: tổ tiên
Từ đồng nghĩa: ông cha, tiền nhân, cha ông
Từ gần nghĩa: ông cha
Từ trái nghĩa: con cháu, hậu duệ
Cụm từ thường dùng: công lao tổ tiên",- Con cháu luôn ghi nhớ công lao của tổ tiên.                                                        - Mỗi người đều có tổ tiên của mình.,*
166,"Bài 27:
Chuyện quả bầu",dân tộc,"Dân tộc là nhóm xã hội, cộng đồng người có chung bản sắc dân tộc, thường gắn liền với nhà nước, có thể bao hàm nhiều nhóm sắc tộc khác nhau.","Dân tộc là cộng đồng người có chung bản sắc và lịch sử, thường gắn với một quốc gia và có thể gồm nhiều nhóm sắc tộc khác nhau.",https://drive.google.com/file/d/10YwPCVMlz6WlwduTPwvvHFetntQREhwM/view?usp=drive_link,,,,"Cụm từ: dân tộc
Từ đồng nghĩa: quốc gia, giống nòi
Từ gần nghĩa: giống nòi
Từ trái nghĩa: (không có từ trái nghĩa trực tiếp)
Cụm từ thường dùng: truyền thống dân tộc",- Dân tộc Việt Nam có lịch sử lâu đời.                                           - Mỗi dân tộc đều có bản sắc riêng.,
167,"Bài 28:
Khám phá đáy biển ở Trường Sa",Trường Sa,"Trường Sa là một tập hợp các thực thể địa lý được bao quanh bởi những vùng ngư nghiệp trù phú đồng thời sở hữu trữ lượng dầu mỏ, khí đốt lớn thuộc biển Đông. ","Trường Sa là được bao quanh bởi những vùng ngư nghiệp trù phú, sở hữu trữ lượng dầu mỏ, khí đốt lớn thuộc biển Đông. ",https://drive.google.com/file/d/19j7BTU0OQNfJBW7SR2fEpEbRch_HW-uL/view?usp=drive_link,,,,"Cụm từ: Trường Sa
Từ đồng nghĩa: quần đảo Trường Sa
Từ gần nghĩa: quần đảo
Từ trái nghĩa: (không có từ trái nghĩa trực tiếp)
Cụm từ thường dùng: quần đảo Trường Sa",- Trường Sa là quần đảo của Việt Nam.                                                                                                                                           - Các chiến sĩ  ngày đêm canh giữ quần đảo  Trường Sa.,
168,"Bài 28:
Khám phá đáy biển ở Trường Sa",kì thú,"Kì thú là lạ lùng, hấp dẫn, gây thích thú và tò mò cho người xem hoặc người nghe.","lạ  lùng, hấp dẫn, gây thích thú và tò mò cho người xem hoặc người nghe.",https://drive.google.com/file/d/1C5o0o6kF3km32mMHa3mFd8YYG_AmhL58/view?usp=sharing,,,,"Cụm từ: kì thú
Từ đồng nghĩa: kì lạ, thú vị, độc đáo
Từ gần nghĩa: thú vị
Từ trái nghĩa: tẻ nhạt, nhàm chán
Cụm từ thường dùng: cảnh đẹp kì thú","- Chuyến tham quan ấy thật kì thú.
– Thế giới thiên nhiên có nhiều điều kì thú",
169,"Bài 28:
Khám phá đáy biển ở Trường Sa",thám hiểm,Thám hiểm là đi vào vùng xa lạ hoặc hiểm trở để khám phá những điều mới lạ.,"Thám hiểm là đi đến những nơi xa lạ, hiểm trở để khám phá và tìm hiểu.",https://drive.google.com/file/d/1FBHQZTl_1zvrj88JaCQgbP0eo2nM7cwh/view?usp=drive_link,,,,"Cụm từ: thám hiểm
Từ đồng nghĩa: khám phá, dò tìm, khảo sát
Từ gần nghĩa: khám phá
Từ trái nghĩa: bỏ qua, tránh né
Cụm từ thường dùng: chuyến đi thám hiểm",- Chúng em thích thám hiểm thiên nhiên.                             - Nhà khoa học thám hiểm Bắc Cực.,*
170,"Bài 28:
Khám phá đáy biển ở Trường Sa",thú vị,"Tạo nên sự thích thú vị, vui thích",Là sự thích thú,https://drive.google.com/file/d/1C5o0o6kF3km32mMHa3mFd8YYG_AmhL58/view?usp=sharing,,,,"Cụm từ: thú vị
Từ đồng nghĩa: hấp dẫn, lí thú, kì thú
Từ gần nghĩa: hấp dẫn
Từ trái nghĩa: nhàm chán, tẻ nhạt
Cụm từ thường dùng: câu chuyện thú vị",- Câu chuyện cô giáo kể thật thú vị                                                                          - Cuộc trò chuyện ấy thú vị bất ngờ.,
171,"Bài 28:
Khám phá đáy biển ở Trường Sa",rực rỡ,"Có màu sắc tươi sáng đẹp đẽ và nổi bật hẳn lên, làm cho ai cũng phải chú ý","Màu sắc tươi sáng, nổi bật",https://drive.google.com/file/d/1J0YF8tAbyIn8FOj2xV1kZ0cm-id32e4y/view?usp=sharing,,,,"Cụm từ: rực rỡ
Từ đồng nghĩa: tươi sáng, chói lọi, rạng rỡ
Từ gần nghĩa: rạng rỡ
Từ trái nghĩa: u ám, tối tăm
Cụm từ thường dùng: hoa nở rực rỡ",- Vườn hoa rực rỡ sắc màu.                        - Pháo hoa rực rỡ trên bầu trời đêm.,
172,"Bài 28:
Khám phá đáy biển ở Trường Sa",dày đặc,"Rất dày, rất sít, như không còn kẽ hở","Rất dày, rất sít như không có kẽ hở",https://drive.google.com/file/d/1zVoFifyDDfaEJ0Omu8gxY0Dhx4xVaS07/view?usp=sharing,,,,"Cụm từ: dày đặc
Từ đồng nghĩa: dày kín, ken dày, đặc kín
Từ gần nghĩa: dày kín
Từ trái nghĩa: thưa thớt, rải rác
Cụm từ thường dùng: cây cối mọc dày đặc",- Sương mù dày đặc vào sáng sớm.                                                   - Mây dày đặc che kín bầu trời.       ,
173,"Bài 28:
Khám phá đáy biển ở Trường Sa",di động,"chuyển động, thay đổi vị trí ","chuyển động, thay đổi vị trí ",https://drive.google.com/file/d/17EFJcTP7-Po3v6vAXmBReW0q-tsmK7s3/view?usp=sharing,,,,"Cụm từ: di động
Từ đồng nghĩa: lưu động, chuyển động, di chuyển
Từ gần nghĩa: lưu động
Từ trái nghĩa: cố định, bất động
Cụm từ thường dùng: điện thoại di động ",- Điện thoại di đông rất tiện lợi.                                             - Chiếc xe đang di động trên đường.,
174,"Bài 28:
Khám phá đáy biển ở Trường Sa",san hô,"đông vật biển, có bộ xương dạng cánh hoa, nhiều màu sắc","đông vật biển, có bộ xương dạng cánh hoa, nhiều màu sắc",https://drive.google.com/file/d/1Vzc_shbdDcv3f-2qgejj27FauN3--a27/view?usp=drive_link,,,,"Cụm từ: san hô
Từ đồng nghĩa: đá san hô
Từ gần nghĩa: rạn san hô
Từ trái nghĩa: (không có từ trái nghĩa trực tiếp)
Cụm từ thường dùng: rạn san hô ",- San hô sống dưới biển.                                                            - Rạn san hô rất đẹp,*
175,"Bài 28:
Khám phá đáy biển ở Trường Sa",khổng lồ,"có kích thước, quy mô, khối lượng lớn gấp nhiều lần so với bình thường","rất to, lớn",https://drive.google.com/file/d/1iR71igM4eOj-zAc5yn94-HsIZJDzTAhv/view?usp=drive_link,,,,"Cụm từ: khổng lồ
Từ đồng nghĩa: to lớn, đồ sộ, vĩ đại
Từ gần nghĩa: to lớn
Từ trái nghĩa: nhỏ bé, tí hon
Cụm từ thường dùng: con cá khổng lồ ",- Con cá voi khổng lồ bơi dưới biển.                                                               - Quả bóng khổng lồ bay trên trời.,
176,"Bài 28:
Khám phá đáy biển ở Trường Sa",thân yêu,yêu quý và thân thiết,yêu quý và thân thiết,https://drive.google.com/file/d/1TwbZ8joPedZREGGe0_mYONwfhrFVqA2y/view?usp=drive_link,,,,"Cụm từ: thân yêu
Từ đồng nghĩa: yêu quý, thân thương, trìu mến
Từ gần nghĩa: thân thương
Từ trái nghĩa: xa lạ, ghét bỏ
Cụm từ thường dùng: bạn bè thân yêu ",- Mái trường thân yêu của em.                                                                                                                                                                       - Bạn bè thân yêu giúp đỡ nhau.,
177,"Bài 29: 
Hồ Gươm",Hồ Gươm,"là một hồ nước nổi tiếng ở trung tâm Hà Nội, gắn liền với truyền thuyết vua Lê Lợi trả gươm báu cho Rùa Thần, nên còn gọi là Hồ Hoàn Kiếm. Hồ là biểu tượng lịch sử, văn hóa của Thủ đô, nơi có các công trình như Đền Ngọc Sơn, cầu Thê Húc, Tháp Rùa",Hồ Hoàn Kiếm,anh-ho-guom.jpg,,,,"Cụm từ: Hồ Gươm
Từ đồng nghĩa: Hồ Hoàn Kiếm
Từ gần nghĩa: hồ nước
Từ trái nghĩa: (không có từ trái nghĩa trực tiếp)
Cụm từ thường dùng: Hồ Hoàn Kiếm thơ mộng",- Hồ Gươm rất đẹp và yên bình.,*
178,"Bài 29: 
Hồ Gươm",bầu dục,"Chỉ hình dạng giống quả trứng, thuôn dài, tròn ở hai đầu.","Chỉ hình dạng giống quả trứng, thuôn dài, tròn ở hai đầu.",https://drive.google.com/file/d/1JDNlRNoU3q-0vwrzQzxrCzHCB9LMqeqL/view?usp=sharing,,,,"Cụm từ: bầu dục
Từ đồng nghĩa: hình ôvan, hình trứng
Từ gần nghĩa: hình quả trứng
Từ trái nghĩa: hình tròn, hình vuông
Cụm từ thường dùng: hình bầu dục ","- Quả trứng có hình bầu dục.
- Chiếc gương bầu dục treo trên tường.",
179,"Bài 29: 
Hồ Gươm",long lanh,"có ánh sáng phản chiếu trên vật trong suốt, tạo vẻ trong sáng, sinh động","ánh sáng sáng, trong suốt",long lanh.jpg,,,,"Cụm từ: long lanh
Từ đồng nghĩa: lấp lánh, lung linh, óng ánh
Từ gần nghĩa: lấp lánh
Từ trái nghĩa: mờ đục, tối xỉn
Cụm từ thường dùng: đôi mắt long lanh",- Cô ấy có đôi mắt sáng long lanh.                                                                                                                                                             - Giọt sương long lanh trên lá.,
180,"Bài 29: 
Hồ Gươm",Cầu Thê Húc,"Cầu Thê Húc là cây cầu gỗ sơn màu đỏ, bắc qua hồ Hoàn Kiếm (Hồ Gươm), dùng để nối bờ hồ với đền Ngọc Sơn, nằm ở thành phố Hà Nội.","Cầu Thê Húc là cây cầu gỗ sơn màu đỏ, bắc qua hồ Hoàn Kiếm (Hồ Gươm), dùng để nối bờ hồ với đền Ngọc Sơn, nằm ở thành phố Hà Nội.",cau_the_huc_ha_noi_ho_guom__.jpg,,,,"Cụm từ: Cầu Thê Húc
Từ đồng nghĩa: (không có từ đồng nghĩa trực tiếp)
Từ gần nghĩa: cây cầu
Từ trái nghĩa: (không có từ trái nghĩa trực tiếp)
Cụm từ thường dùng: Cầu Thê Húc đỏ son","- Mọi người đi qua cầu Thê Húc để vào đền.
- Cầu Thê Húc bắc qua hồ Hoàn Kiếm.",
181,"Bài 29: 
Hồ Gươm",đền Ngọc Sơn,"Đền Ngọc Sơn là một ngôi đền nằm trên đảo Ngọc, giữa hồ Hoàn Kiếm (Hồ Gươm), thuộc thành phố Hà Nội, là di tích lịch sử – văn hóa nổi tiếng, nơi thờ các nhân vật lịch sử và anh hùng dân tộc.","Đền Ngọc Sơn là một ngôi đền nằm trên đảo Ngọc, giữa hồ Hoàn Kiếm (Hồ Gươm), thuộc thành phố Hà Nội, là di tích lịch sử – văn hóa nổi tiếng, nơi thờ các nhân vật lịch sử và anh hùng dân tộc.",den-ngoc-son-1_1676825934.jpg,,,,"Cụm từ: đền Ngọc Sơn
Từ đồng nghĩa: (không có từ đồng nghĩa trực tiếp)
Từ gần nghĩa: ngôi đền
Từ trái nghĩa: (không có từ trái nghĩa trực tiếp)
Cụm từ thường dùng: Đền Ngọc Sơn cổ kính ","- Nhiều người đến thăm đền Ngọc Sơn.
-Đền Ngọc Sơn là một nơi linh thiêng.",
182,"Bài 29: 
Hồ Gươm",lấp ló,"ló ra rồi khuất đi, khi ẩn khi hiện liên tiếp",Lúc ẩn lúc hiện,lấp ló.webp,,*,,"Cụm từ: lấp ló
Từ đồng nghĩa: thấp thoáng, he hé, ẩn hiện
Từ gần nghĩa: ẩn hiện
Từ trái nghĩa: lộ rõ, hiện rõ, phô bày
Cụm từ thường dùng: ngọn núi lấp ló sau mây","- Mặt trời lấp ló sau rặng núi.
– Chú mèo lấp ló sau cánh cửa.",
183,"Bài 29: 
Hồ Gươm",xum xuê,"Chỉ trạng thái mọc hoặc có rất nhiều, dày đặc, sum suê, thường dùng để nói về cây cối, cành lá, hoa quả.","Mọc nhiều, dày, che kín (thường nói về cây cối, cành lá).",xum xuê.jpg,,,,"Cụm từ: xum xuê
Từ đồng nghĩa: sum suê, um tùm, rậm rạp
Từ gần nghĩa: rậm rạp
Từ trái nghĩa: thưa thớt, trơ trụi
Cụm từ thường dùng: cây cối xum xuê ","- Vườn cây xum xuê lá xanh.
– Hàng tre xum xuê trước nhà.",
184,"Bài 29: 
Hồ Gươm",Tháp Rùa,"Tháp Rùa là một công trình kiến trúc nhỏ nằm trên gò đất giữa hồ Hoàn Kiếm (Hồ Gươm), ở thành phố Hà Nội, được xây dựng vào thế kỉ XIX, là biểu tượng lịch sử – văn hóa của Thủ đô.","Tháp Rùa là một công trình kiến trúc nhỏ nằm trên gò đất giữa hồ Hoàn Kiếm (Hồ Gươm), ở thành phố Hà Nội, là biểu tượng lịch sử – văn hóa của Thủ đô.",https://drive.google.com/file/d/16dR_HE24uY6mHrb30fWxwzZx3lzjy7CL/view?usp=sharing,,,,"Cụm từ: Tháp Rùa
Từ đồng nghĩa: (không có từ đồng nghĩa trực tiếp)
Từ gần nghĩa: tháp cổ
Từ trái nghĩa: (không có từ trái nghĩa trực tiếp)
Cụm từ thường dùng: Tháp Rùa cổ kính ",- Du khách thích tham quan Tháp Rùa.                                                                                                                                  - Du khách thích tham quan Tháp Rùa.,
185,"Bài 29: 
Hồ Gươm",cổ kính,cổ và có vẻ trang nghiêm,cổ và trang nghiêm,https://drive.google.com/file/d/11QdOaxl5RJvmdmFW67AsrLj1iqswzcdq/view?usp=sharing,,,,"Cụm từ: cổ kính
Từ đồng nghĩa: cổ xưa, cổ lão, xưa cũ
Từ gần nghĩa: cổ xưa
Từ trái nghĩa: hiện đại, mới mẻ
Cụm từ thường dùng: ngôi chùa cổ kính",- Phố cổ mang vẻ đẹp cổ kính.                                                                                                                                                  - Ngôi đến trang nghiêm và cổ kính.,*
186,"Bài 29: 
Hồ Gươm",ngân nga,(âm thanh) ngân như kéo dài mãi,âm thanh kéo dài ,,,https://drive.google.com/file/d/1yYECBpO2cY2zkoi2xwju5Gef74BLP2tQ/view?usp=drivesdk,,"Cụm từ: ngân nga
Từ đồng nghĩa: du dương, trầm bổng, vang vọng
Từ gần nghĩa: du dương
Từ trái nghĩa: chói tai, ồn ào
Cụm từ thường dùng: tiếng hát ngân nga","- Em ngân nga một bài hát.
– Tiếng chim ngân nga buổi sáng.",
187,"Bài 30: 
Cánh đồng quê em",vầng dương,mặt trời,mặt trời,mặt trời.jpg,,,,"Cụm từ: vầng dương
Từ đồng nghĩa: mặt trời, thái dương
Từ gần nghĩa: mặt trời
Từ trái nghĩa: bóng tối, đêm tối
Cụm từ thường dùng: vầng dương rực rỡ","- Vầng dương đỏ rực lúc bình minh.
– Vầng dương tỏa nắng ấm áp.",
188,"Bài 30: 
Cánh đồng quê em",kim cương,"carbon ở dạng tinh thể óng ánh, rất cứng, dùng để cắt kính, làm đồ trang sức","carbon ở dạng tinh thể óng ánh, rất cứng, dùng để cắt kính, làm đồ trang sức",diamonds-8532020_1920.jpg,,,,"Cụm từ: kim cương
Từ đồng nghĩa: hột xoàn
Từ gần nghĩa: đá quý
Từ trái nghĩa: đá thường, đá sỏi
Cụm từ thường dùng: viên kim cương 💎",- Kim cương rất quý hiếm và đắt đỏ .                                                                                                                                - Chiếc nhẫn đó được làm bằng kim cương sáng lấp lánh.,
189,"Bài 30: 
Cánh đồng quê em",lấp lánh,"có ánh sáng phản chiếu không liên tục, nhưng đều đặn, vẻ sinh động
","Có ánh sáng phản chiếu, long lanh, đẹp và hấp dẫn",https://drive.google.com/file/d/1YICN2pp_0soK8h6oYYfOLYKZ38NG5hfz/view?usp=sharing,,,,"Cụm từ: ánh sao lấp lánh
Từ đồng nghĩa: lung linh, long lanh, óng ánh
Từ gần nghĩa: lung linh
Từ trái nghĩa: đen xì, tối om
Cụm từ thường dùng: sáng lấp lánh ","- Ánh sao lấp lánh trên trời.
– Dòng sông lấp lánh dưới nắng.",
190,"Bài 30: 
Cánh đồng quê em",ban mai,"buổi sáng, lúc sáng sớm",Lúc sáng sớm,https://drive.google.com/file/d/1lSED-G4v8FY6cHY5Mpl-pf8E1LsK2XxF/view?usp=drive_link,,,,"Cụm từ: ánh ban mai
Từ đồng nghĩa: bình minh, rạng đông, tảng sáng
Từ gần nghĩa: bình minh
Từ trái nghĩa: hoàng hôn, chiều tà
Cụm từ thường dùng: ánh ban mai",- Nắng ban mai dịu nhẹ.                                                                                                                                                      - Ban mai gọi ngày mới.,
191,"Bài 30: 
Cánh đồng quê em",hiền hòa,hiền lành và ôn hoà ,hiền lành và ôn hoà,,, hiền hoà.mp4,,"Cụm từ: hiền hòa
Từ đồng nghĩa: hiền lành, dịu dàng, ôn hòa
Từ gần nghĩa: hiền lành
Từ trái nghĩa: dữ dằn, hung dữ
Cụm từ thường dùng: gương mặt hiền hòa ",- Quê em có dòng sông hiền hoà.                                - Ánh mắt mẹ hiền hoà.,
192,"Bài 30: 
Cánh đồng quê em",dập dờn,"chuyển động lúc lên lúc xuống, lúc ẩn lúc hiện, lúc gần lúc xa nối tiếp nhau liên tiếp và nhịp nhàng",Chuyển động lúc ẩn lúc hiện,,, dập dờn.mp4,,"Cụm từ: dập dờn
Từ đồng nghĩa: nhấp nhô, chập chờn, lượn sóng
Từ gần nghĩa: nhấp nhô
Từ trái nghĩa: đứng yên, bất động
Cụm từ thường dùng: sóng nước dập dờn","- Sóng biển dập dờn ngoài khơi.
– Ánh đèn dập dờn trong đêm.",
193,"Bài 30: 
Cánh đồng quê em",chiền chiện,"chim cỡ nhỏ hơn chim sẻ, thường sống ở ruộng, bãi quang đãng, khi hót thường bay bổng lên cao.","loài chim cỡ nhỏ, thường sống ở ruộng, bãi quang đãng",chim chiền chiện,,,,"Cụm từ: chim chiền chiện
Từ đồng nghĩa: chim sơn ca, chim hót
Từ gần nghĩa: họa mi
Từ trái nghĩa: (không có từ trái nghĩa trực tiếp)
Cụm từ thường dùng: tiếng hoạ mi hót líu lo","- Chim chiền chiện hót trên cánh đồng.
– Tiếng chiền chiện vang giữa trời xanh.",
194,"Bài 30: 
Cánh đồng quê em",tích ri tích rích,tiếng kêu nhỏ liên tiếp của chim chiền chiện,Tiếng kêu của chim chiền chiện,,, tích ri tích rích.mp4,,"Cụm từ: tích ri tích rích
Từ đồng nghĩa: líu lo, ríu rít, lích chích
Từ gần nghĩa: ríu rít
Từ trái nghĩa: im lặng, yên ắng
Cụm từ thường dùng: chim hót tích ri tích rích",- Con chim chiền chiện kêu tích ri tích rích,
195,"Bài 30: 
Cánh đồng quê em",ngân nga,(âm thanh) ngân như kéo dài mãi,âm thanh kéo dài,,*,https://drive.google.com/file/d/1yYECBpO2cY2zkoi2xwju5Gef74BLP2tQ/view?usp=drivesdk,,"Cụm từ: ngân nga
Từ đồng nghĩa: du dương, trầm bổng, vang vọng
Từ gần nghĩa: du dương
Từ trái nghĩa: chói tai, ồn ào
Cụm từ thường dùng: tiếng hát ngân nga",- Cô bé ngân nga câu hát quen  thuộc.                                                                                                                           - Chim hót ngân nga buổi sớm.,
196,"Bài 30: 
Cánh đồng quê em",mênh mông,rộng lớn đến mức như không có giới hạn,"Rất rộng lớn, bao la",rita2000-wheat-9666681_1920.jpg,,,,"Cụm từ: mênh mông
Từ đồng nghĩa: bát ngát, bao la, rộng lớn
Từ gần nghĩa: bao la
Từ trái nghĩa: chật hẹp, nhỏ bé
Cụm từ thường dùng: biển rộng mênh mông",- Cánh đồng lúa mênh mông.                                                                                                                                             - Sa mạc mênh mông cát trắng.,
