id,word,standard_meaning,simplified_meaning,image_url,audio_url,video_url,synonyms,antonyms,is_required,notes
110,sa mạc,"Vùng rộng lớn có khí hậu rất khô, không có nước, hầu như không có cây cối và động vật sinh sống, trừ ở một số ốc đảo","Nơi rộng lớn, ít cây xanh, thời tiết rất nóng bức",Sa mạc.webp,,,{},{},True,*
111,phật ý,không vui vì không được vừa ý,không vui vì không được vừa ý,,,,"{giận lòng,mất lòng}","{hài lòng,vui lòng}",True,*
112,lịch sự,"có thái độ nhã nhặn, lễ độ trong xã giao, phù hợp với quan niệm và phép tắc chung của xã hội","là cách cư xử nhẹ nhàng, lễ phép với người khác",ảnh - lịch sự.png,,video - lịch sự.mp4,"{lễ phép,nhã nhặn}","{thô lỗ,bất lịch sự}",True,*
113,xấu hổ,"là cảm giác ngượng ngùng, e thẹn",ngại ,xấu hổ.png                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,,,"{ngượng ngùng,hổ thẹn}","{tự tin,tự hào}",False,
114,trực tiếp,"Có quan hệ thẳng với đối tượng tiếp xúc, không qua khâu trung gian","Nhìn tận mắt, làm tận tay mà không thông qua điều gì",trực tiếp.png,,,"{thẳng thắn,trực diện}",{gián tiếp},False,
115,trao đổi,bàn bạc ý kiến với nhau để đi đến thống nhất,nói chuyện qua lại giữa nhiều người,trao đổi.png,,,"{thảo luận,bàn bạc}","{giữ kín,không nói ra}",False,
116,huấn luyện,giảng dạy và hướng dẫn luyện tập,"dạy để tốt hơn, giỏi hơn",huấn luyện.png,,,"{đào tạo,rèn luyện}","{bỏ mặc,không dạy}",True,*
117,thông tin,"là tất cả các sự việc, sự kiện, ý tưởng, phán đoán làm tăng thêm sự hiểu biết của con người.",điều được truyền đi cho người khác biết ,thông tin.png,,,"{tin tức,dữ liệu}",{thiếu thông tin},False,
118,dễ dàng,"đơn giản,  không đòi hỏi nhiều điều kiện, nhiều công phu",trái nghĩa với khó,,,,"{đơn giản,nhẹ nhàng}","{khó khăn,phức tạp}",False,
119,in-tơ-nét,"hệ thống gồm các mạng máy tính được nối với nhau trên phạm vi toàn thế giới, tạo điều kiện cho các dịch vụ truyền thông dữ liệu, như tìm đọc thông tin từ xa, truyền các tệp tin, thư tín điện tử và các nhóm thông tin.",là một mạng máy tính lớn để nhiều máy tính trên khắp thế giới được nối với nhau.,internet.png,,,{mạng internet},"{không có mạng,ngoại tuyến}",True,*
120,Vua Hùng,là cách gọi dành cho các vị vua nước Văn Lang của người Lạc Việt - ,têm những vị vua của nước Văn Lang,vua Hùng.png,,,"{vua thời cổ,vua đầu tiên của nước ta}",{},False,
121,hiểu lầm,Hiểu không đúng sự thật; có ý kiến sai về hoạt động hoặc ý kiến của người khác.,hiểu sai ý,hiểu lầm.png,,,"{hiểu sai,lầm tưởng}","{hiểu đúng,thông cảm}",False,
122,đảo hoang,"Hòn đảo không có người ở, ít hoặc không có dấu hiệu sinh sống của con người.",đảo không có người ,đảo hoang.png,,,"{đảo vắng,đảo không người}","{đảo đông người,đảo du lịch}",True,*
123,nảy mầm,"mầm, chồi bắt đầu nhú ra, mọc ra",mầm cây bắt đầu mọc lên,nảy mầm.png,, nảy mầm.mp4,{mọc mầm},"{héo úa,khô héo}",False,
124,lan rộng,"chỉ quá trình phát tán, mở rộng không gian, tầm ảnh hưởng hoặc phạm vi của một sự vật, hiện tượng từ một điểm xuất phát ban đầu ra các khu vực xung quanh theo mọi hướng.","là từ chỉ quá trình từ một cái nhỏ trở nên to lớn hơn, rộng hơn",,, lan rộng.mp4,"{lan ra,mở rộng}","{thu hẹp,giảm bớt}",False,
125,hối hận,"Cảm thấy ân hận, day dứt vì nhận ra lỗi lầm của mình.",buồn vì lỗi sai của mình,hối hận.png,,,"{ân hận,hối tiếc}","{hài lòng,tự mãn}",True,*
126,xa xôi,"khoảng cách xa và cách trở về không gian, thời gian",rất xa,xa xôi.png,,,{xa xăm},"{gần gũi,gần}",False,
127,bằng lòng,"Có thái độ đồng ý, chấp nhận điều gì đó.",đồng ý ,bằng lòng.jpg,,,{đồng ý},"{từ chối,phản đối}",False,
128,đảo,"Đảo là phần đất tự nhiên được bao quanh hoàn toàn bởi nước (biển, đại dương, hồ, sông), nổi trên mặt nước. ",vùng đất ở giữa biển,đảo.png,,,{cù lao},{đất liền},False,
129,hòm thư,"Dụng cụ hoặc nơi dùng để nhận và chứa thư từ, bưu phẩm.",hộp đựng thư bên trong,hòm thư.png,,,{},{},True,*
130,giặc Nguyên,"- Giặc: Kẻ tổ chức thành lực lượng vũ trang, chuyên đi cướp phá, làm rối loạn an ninh, gây tai hoạ cho cả một vùng hoặc một nước. 
- Giặc Nguyên: Quân giặc nước Nguyên (Mông Cổ) nằm ở phía Đông Bắc Châu Á, nằm giữa phía Bắc nước Nga và phía Nam Trung Quốc",nước Nguyên đến cướp phá nước khác ,giặc nguyên.png,,,{quân xâm lược},"{quân ta,quân bảo vệ đất nước}",True,*
131,sứ thần,Người thay mặt cho vua một nước đi giao thiệp với nước ngoài.,Người thay vua đi gặp nước khác,sứ giả.png,,,{sứ giả},{kẻ xâm lược},False,
132,giả vờ,Làm ra vẻ như thật để che giấu sự thật hoặc đánh lừa người khác.,làm sai sự thật,,,,"{làm bộ,vờ}","{thật thà,thành thật}",False,
133,xâm chiếm,"Hành động chiếm đoạt hoặc lấn chiếm lãnh thổ, tài sản hay quyền lợi của người khác một cách không được phép.","Lấn chiếm, chiếm lấy của người khác.
",xâm chiếm.png,,,{xâm lược},"{bảo vệ,giữ gìn}",False,
134,ngang ngược,"Có thái độ bướng bỉnh, coi thường lẽ phải, làm theo ý mình bất chấp đúng sai.",Làm theo ý mình không cần biết đúng sai,,,,"{hỗn láo,vô lễ}","{lễ phép,ngoan ngoãn}",False,
135,Trần Quốc Toản,là một vị anh hùng thiếu niên nổi tiếng thời nhà Trần trong lịch sử Việt Nam,thiếu niên anh hùng thời Trần,Trần Quốc Toản.png,,,{vị anh hùng trẻ tuổi},{},True,*
136,phép nước,"Những quy định, luật lệ của nhà nước buộc mọi người phải tuân theo.",luật lệ của nhà nước,phép nước.png,,,{pháp luật},"{vô pháp,không có luật lệ}",False,
137,ấm ức,"Trạng thái bực bội, tức giận nhưng bị dồn nén trong lòng, chưa nói ra.","tức mà không nói ra
",,,,{uất ức},"{vui vẻ,thoải mái}",False,
138,thường lệ,Việc vẫn xảy ra hoặc được làm lặp đi lặp lại theo thói quen từ trước.,lặp lại theo thói quen,thường lệ.jpg,,,{như mọi khi},{bất thường},False,
139,ngoằn ngoèo,từ gợi tả dáng vẻ cong queo uốn lượn theo nhiều hướng khác nhau,đường cong nhiều hướng khác nhau,ngoằn ngoèo.png,, ngoằn ngoèo.mp4,{quanh co},{thẳng tắp},True,*
140,tần ngần,"Ở trạng thái do dự, chần chừ, chưa quyết định ngay vì còn suy nghĩ hoặc băn khoăn.","do dự, chần chừ",,,,{do dự},{quyết đoán},True,*
141,chú cần vụ,"Người lính làm nhiệm vụ phục vụ, giúp đỡ sinh hoạt cho cán bộ trong quân đội.",người lính phục vụ sinh hoạt cho cán bộ,chú cần vụ.png,,,{người phục vụ},{người chỉ huy},True,*
142,ân cần,"Có thái độ quan tâm, chăm sóc, đối xử nhẹ nhàng và chu đáo.",Chăm sóc một cách nhẹ nhàng,,, ân cần.mp4,"{dịu dàng,chu đáo}",{lạnh nhạt},False,
143,thắc mắc,Có điều chưa hiểu rõ nên muốn được giải thích,có câu hỏi cần được trả lời,thắc mắc.png,,,{băn khoăn},{hiểu rõ},False,
144,thiếu nhi,Trẻ em ở độ tuổi nhỏ.,trẻ em,thiếu nhi.png,,,{trẻ em},{người lớn},False,
145,thủ đô,Thủ đô là trung tâm hành chính của một quốc gia,Thủ đô là trung tâm hành chính của một quốc gia,thủ đô.jpg,,,"{Kinh đô,kinh thành}","{làng,xóm,thôn quê}",False,
146,anh hùng,"- nhân vật thần thoại có sức mạnh và dũng khí phi thường, lập nên những kì tích đặc biệt (thường có trong truyện thần thoại Hi Lạp).
- người có tài năng và dũng khí hơn hẳn người thường, làm nên những việc được người đời ca tụng
","Anh hùng là người có sức mạnh, can đảm đối mặt với nguy hiểm",anh hùng.jpg,,,"{hào kiệt,dũng sĩ}",{hèn nhát},False,
147,rạng danh,"Là làm cho danh tiếng trở nên vẻ vang, được nhiều người biết đến và kính trọng.","Là làm cho danh tiếng trở nên vẻ vang, được nhiều người biết đến và kính trọng.",https://drive.google.com/file/d/18yEJk-yV-snxwLabnLUujz_6CV7e4ba9/view?usp=drivesdk,,,{rạng danh},{bôi nhọ},False,
148,lịch sử,"Lịch sử là quá trình phát sinh, phát triển đã qua hay cho đến tiêu vong của một hiện tượng, một sự vật nào đó diễn ra theo thứ tự thời gian
","quá trình hình thành, phát triển và biến đổi của sự vật, hiện tượng theo thời gian",https://drive.google.com/file/d/1wrod2SNQoHSbfqDhh6k96ie-TnwbQD81/view?usp=sharing,,,"{quá khứ,sử sách,sử liệu}","{hiện tại,tương lai}",False,
149,khí hậu,"tình hình chung về quy luật diễn biến của thời tiết ở một vùng, một miền","diễn biến của thời tiết ở một vùng, một miền",https://drive.google.com/file/d/1rKkWLNH9jYkmE1LGPSN8eeTjRnJlEqF2/view?usp=drivesdk,,,{Thời tiết},{Không},False,
150,truyền thống,"thói quen hình thành đã lâu đời trong lối sống và nếp nghĩ, được truyền lại từ thế hệ này sang thế hệ khác","thói quen lâu đời trong lối sống và nếp nghĩ, được truyền từ thế hệ này sang thế hệ khác.",https://drive.google.com/file/d/1N8HpW6xS5AJddwjXaBfewg_rMqllehaM/view?usp=drivesdk,,,{phong tục},{Cụm từ thường dùng: Truyền thống dân tộc},False,
151,tươi đẹp,"Là đẹp đẽ, rạng rỡ, tràn đầy sức sống, tạo cảm giác dễ chịu và vui tươi.","Đẹp đẽ, vui tươi, tạo cảm giác dễ chịu",https://drive.google.com/file/d/1Z0kVDgawX_EjBRhzLZPKOf_sz9EK-h67/view?usp=sharing,,,"{xinh đẹp,rực rỡ,tốt đẹp}","{xấu xí,u ám}",False,
152,ca dao,"Thơ ca do nhân dân sáng tác, được truyền miệng.","thơ ca dân gian truyền miệng, thường theo thể lục bát, dễ nhớ, dễ thuộc",ca dao.png,, ca dao.mp4,"{lời ca dân gian,thơ ca dân gian}",{(không có từ trái nghĩa trực tiếp)},True,*
153,Vua Hùng," Vua Hùng là cách gọi dành cho các vị vua nước Văn Lang của người Lạc Việt, tồn tại vào khoảng thế kỷ VII đến thế kỷ II trước Công nguyên (TCN)."," Vua Hùng là cách gọi dành cho các vị vua nước Văn Lang của người Lạc Việt, tồn tại vào khoảng thế kỷ VII đến thế kỷ II trước Công nguyên (TCN).",vua Hùng.png,,,{Hùng Vương                                                                                                                                                                                                                                Từ gần nghĩa: thời đại Hùng Vương},{(không có từ trái nghĩa trực tiếp)},False,
154,tranh họa đồ,"tranh vẽ cảnh vật, sông núi.","tranh vẽ cảnh vật, sông núi.",https://drive.google.com/file/d/1quf5uufHSOPFbJn5WkeIMOPKUl1BFv-L/view?usp=drive_link,,,"{tranh minh họa,tranh vẽ}",{(không có từ trái nghĩa trực tiếp)},True,*
155,khám phá,"tìm ra, phát hiện ra cái còn ẩn giấu, cái bí mật.","tìm tòi, phát hiện ra cái mới",https://drive.google.com/file/d/1FBHQZTl_1zvrj88JaCQgbP0eo2nM7cwh/view?usp=drive_link,,,"{phát hiện,tìm ra,phát kiến}","{che giấu,bỏ qua}",False,
156,mến thương,"có tình cảm yêu thương, gắn bó",có tình cảm yêu thương,https://drive.google.com/file/d/1TwbZ8joPedZREGGe0_mYONwfhrFVqA2y/view?usp=drive_link,,,"{yêu thương,quý mến,thương yêu}","{ghét bỏ,căm ghét}",False,
157,con dúi,"Loài thú nhỏ, ăn củ và rễ cây, sống trong hang đất","Loài thú nhỏ, ăn củ và rễ cây, sống trong hang đất",https://drive.google.com/file/d/1OxouBsKBuWSOCu4LzQe7YtKO2p4fi7bo/view?usp=drive_link,,,"{dúi,chuột dúi}",{(không có từ trái nghĩa trực tiếp)},True,*
158,thương tình,chạnh lòng thương cảm một cách sâu sắc trước tình cảnh của người nào đó,thương cảm với hoàn cảnh của người khác,https://drive.google.com/file/d/1TwbZ8joPedZREGGe0_mYONwfhrFVqA2y/view?usp=drive_link,,,"{thương xót,cảm thương,động lòng}","{thờ ơ,lạnh lùng}",False,
159,nương,"(1) đất trồng trọt trên vùng đồi, núi hoặc bãi ven sông                                                                              
(2) dựa vào để có được sự che chở, giúp đỡ","(1) đất trồng trọt trên vùng đồi, núi hoặc bãi ven sông                                                                              (2) dựa vào để có được sự che chở, giúp đỡ",https://drive.google.com/file/d/1bqGhoYQ8YogK5LWTTHYf1b4R9oUMwv4Z/view?usp=drive_link,,,"{dựa,nhờ,tựa,nương rẫy}","{chống lại,tự lập}",True,*
160,lũ lụt,"Lũ lụt là một loại thiên tai xảy ra do hiện tượng nước trong sông, suối, hồ tràn ngập một vùng đất.","hiện tượng nước sông, suối, hồ tràn ngập đất liền.",https://drive.google.com/file/d/1DtYNjzNs89J41RcOlf6CVrcXLNF2GZrN/view?usp=sharing,,,"{ngập lụt,lụt lội}",{hạn hán},False,
161,mênh mông,Mênh mông là rộng lớn tới mức không có giới hạn,"Rộng lớn, bao la",https://drive.google.com/file/d/19lkErGQaVD1Vx2ZEnebreaCxsOh3zkNU/view?usp=sharing,,,"{bát ngát,bao la,rộng lớn}","{chật hẹp,nhỏ bé}",False,
162,thoát nạn,Vượt qua khỏi nguy hiểm,vượt khỏi nguy hiểm,https://drive.google.com/file/d/18eLhh9Xa9iGrgVt1xQ4uIfkLDFGCVUPd/view?usp=sharing,,,"{thoát hiểm,tránh nạn,thoát khỏi nguy hiểm}","{gặp nạn,mắc nạn}",False,
163,lao xao,"có nhiều âm thanh hoặc tiếng động nhỏ rộn lên xen lẫn vào nhau, nghe không rõ, không đều","nhiều âm thanh nhỏ vang lên rộn ràng, xen lẫn nhau, nghe không rõ từng tiếng",,, lao xao.mp4,"{xào xạc,rì rào,xôn xao}","{yên ắng,im lặng}",False,
164,lần lượt,(làm việc gì) theo thứ tự trước sau cho đến hết,Theo trình tự,https://drive.google.com/file/d/1iJZ6Y9FLivx5-HVWaZA6acYavJR21Rgn/view?usp=drive_link,,,"{kế tiếp,tiếp theo,nối tiếp}","{đồng loạt,cùng lúc}",False,
165,tổ tiên,Những người đầu tiên sinh ra một dòng họ hoặc một dân tộc,Tổ tiên là những người thuộc các thế hệ trước của một dòng họ hoặc một dân tộc,https://drive.google.com/file/d/16V9XI3TH3DuV0hChZDqjP7_r4Oq4KOAJ/view?usp=drive_link,,,"{ông cha,tiền nhân,cha ông}","{con cháu,hậu duệ}",True,*
166,dân tộc,"Dân tộc là nhóm xã hội, cộng đồng người có chung bản sắc dân tộc, thường gắn liền với nhà nước, có thể bao hàm nhiều nhóm sắc tộc khác nhau.","Dân tộc là cộng đồng người có chung bản sắc và lịch sử, thường gắn với một quốc gia và có thể gồm nhiều nhóm sắc tộc khác nhau.",https://drive.google.com/file/d/10YwPCVMlz6WlwduTPwvvHFetntQREhwM/view?usp=drive_link,,,"{quốc gia,giống nòi}",{(không có từ trái nghĩa trực tiếp)},False,
167,Trường Sa,"Trường Sa là một tập hợp các thực thể địa lý được bao quanh bởi những vùng ngư nghiệp trù phú đồng thời sở hữu trữ lượng dầu mỏ, khí đốt lớn thuộc biển Đông. ","Trường Sa là được bao quanh bởi những vùng ngư nghiệp trù phú, sở hữu trữ lượng dầu mỏ, khí đốt lớn thuộc biển Đông. ",https://drive.google.com/file/d/19j7BTU0OQNfJBW7SR2fEpEbRch_HW-uL/view?usp=drive_link,,,{quần đảo Trường Sa},{(không có từ trái nghĩa trực tiếp)},False,
168,kì thú,"Kì thú là lạ lùng, hấp dẫn, gây thích thú và tò mò cho người xem hoặc người nghe.","lạ  lùng, hấp dẫn, gây thích thú và tò mò cho người xem hoặc người nghe.",https://drive.google.com/file/d/1C5o0o6kF3km32mMHa3mFd8YYG_AmhL58/view?usp=sharing,,,"{kì lạ,thú vị,độc đáo}","{tẻ nhạt,nhàm chán}",False,
169,thám hiểm,Thám hiểm là đi vào vùng xa lạ hoặc hiểm trở để khám phá những điều mới lạ.,"Thám hiểm là đi đến những nơi xa lạ, hiểm trở để khám phá và tìm hiểu.",https://drive.google.com/file/d/1FBHQZTl_1zvrj88JaCQgbP0eo2nM7cwh/view?usp=drive_link,,,"{khám phá,dò tìm,khảo sát}","{bỏ qua,tránh né}",True,*
170,thú vị,"Tạo nên sự thích thú vị, vui thích",Là sự thích thú,https://drive.google.com/file/d/1C5o0o6kF3km32mMHa3mFd8YYG_AmhL58/view?usp=sharing,,,"{hấp dẫn,lí thú,kì thú}","{nhàm chán,tẻ nhạt}",False,
171,rực rỡ,"Có màu sắc tươi sáng đẹp đẽ và nổi bật hẳn lên, làm cho ai cũng phải chú ý","Màu sắc tươi sáng, nổi bật",https://drive.google.com/file/d/1J0YF8tAbyIn8FOj2xV1kZ0cm-id32e4y/view?usp=sharing,,,"{tươi sáng,chói lọi,rạng rỡ}","{u ám,tối tăm}",False,
172,dày đặc,"Rất dày, rất sít, như không còn kẽ hở","Rất dày, rất sít như không có kẽ hở",https://drive.google.com/file/d/1zVoFifyDDfaEJ0Omu8gxY0Dhx4xVaS07/view?usp=sharing,,,"{dày kín,ken dày,đặc kín}","{thưa thớt,rải rác}",False,
173,di động,"chuyển động, thay đổi vị trí ","chuyển động, thay đổi vị trí ",https://drive.google.com/file/d/17EFJcTP7-Po3v6vAXmBReW0q-tsmK7s3/view?usp=sharing,,,"{lưu động,chuyển động,di chuyển}","{cố định,bất động}",False,
174,san hô,"đông vật biển, có bộ xương dạng cánh hoa, nhiều màu sắc","đông vật biển, có bộ xương dạng cánh hoa, nhiều màu sắc",https://drive.google.com/file/d/1Vzc_shbdDcv3f-2qgejj27FauN3--a27/view?usp=drive_link,,,{đá san hô},{(không có từ trái nghĩa trực tiếp)},True,*
175,khổng lồ,"có kích thước, quy mô, khối lượng lớn gấp nhiều lần so với bình thường","rất to, lớn",https://drive.google.com/file/d/1iR71igM4eOj-zAc5yn94-HsIZJDzTAhv/view?usp=drive_link,,,"{to lớn,đồ sộ,vĩ đại}","{nhỏ bé,tí hon}",False,
176,thân yêu,yêu quý và thân thiết,yêu quý và thân thiết,https://drive.google.com/file/d/1TwbZ8joPedZREGGe0_mYONwfhrFVqA2y/view?usp=drive_link,,,"{yêu quý,thân thương,trìu mến}","{xa lạ,ghét bỏ}",False,
177,Hồ Gươm,"là một hồ nước nổi tiếng ở trung tâm Hà Nội, gắn liền với truyền thuyết vua Lê Lợi trả gươm báu cho Rùa Thần, nên còn gọi là Hồ Hoàn Kiếm. Hồ là biểu tượng lịch sử, văn hóa của Thủ đô, nơi có các công trình như Đền Ngọc Sơn, cầu Thê Húc, Tháp Rùa",Hồ Hoàn Kiếm,anh-ho-guom.jpg,,,{Hồ Hoàn Kiếm},{(không có từ trái nghĩa trực tiếp)},True,*
178,bầu dục,"Chỉ hình dạng giống quả trứng, thuôn dài, tròn ở hai đầu.","Chỉ hình dạng giống quả trứng, thuôn dài, tròn ở hai đầu.",https://drive.google.com/file/d/1JDNlRNoU3q-0vwrzQzxrCzHCB9LMqeqL/view?usp=sharing,,,"{hình ôvan,hình trứng}","{hình tròn,hình vuông}",False,
179,long lanh,"có ánh sáng phản chiếu trên vật trong suốt, tạo vẻ trong sáng, sinh động","ánh sáng sáng, trong suốt",long lanh.jpg,,,"{lấp lánh,lung linh,óng ánh}","{mờ đục,tối xỉn}",False,
180,Cầu Thê Húc,"Cầu Thê Húc là cây cầu gỗ sơn màu đỏ, bắc qua hồ Hoàn Kiếm (Hồ Gươm), dùng để nối bờ hồ với đền Ngọc Sơn, nằm ở thành phố Hà Nội.","Cầu Thê Húc là cây cầu gỗ sơn màu đỏ, bắc qua hồ Hoàn Kiếm (Hồ Gươm), dùng để nối bờ hồ với đền Ngọc Sơn, nằm ở thành phố Hà Nội.",cau_the_huc_ha_noi_ho_guom__.jpg,,,{(không có từ đồng nghĩa trực tiếp)},{(không có từ trái nghĩa trực tiếp)},False,
181,đền Ngọc Sơn,"Đền Ngọc Sơn là một ngôi đền nằm trên đảo Ngọc, giữa hồ Hoàn Kiếm (Hồ Gươm), thuộc thành phố Hà Nội, là di tích lịch sử – văn hóa nổi tiếng, nơi thờ các nhân vật lịch sử và anh hùng dân tộc.","Đền Ngọc Sơn là một ngôi đền nằm trên đảo Ngọc, giữa hồ Hoàn Kiếm (Hồ Gươm), thuộc thành phố Hà Nội, là di tích lịch sử – văn hóa nổi tiếng, nơi thờ các nhân vật lịch sử và anh hùng dân tộc.",den-ngoc-son-1_1676825934.jpg,,,{(không có từ đồng nghĩa trực tiếp)},{(không có từ trái nghĩa trực tiếp)},False,
182,lấp ló,"ló ra rồi khuất đi, khi ẩn khi hiện liên tiếp",Lúc ẩn lúc hiện,lấp ló.webp,,*,"{thấp thoáng,he hé,ẩn hiện}","{lộ rõ,hiện rõ,phô bày}",False,
183,xum xuê,"Chỉ trạng thái mọc hoặc có rất nhiều, dày đặc, sum suê, thường dùng để nói về cây cối, cành lá, hoa quả.","Mọc nhiều, dày, che kín (thường nói về cây cối, cành lá).",xum xuê.jpg,,,"{sum suê,um tùm,rậm rạp}","{thưa thớt,trơ trụi}",False,
184,Tháp Rùa,"Tháp Rùa là một công trình kiến trúc nhỏ nằm trên gò đất giữa hồ Hoàn Kiếm (Hồ Gươm), ở thành phố Hà Nội, được xây dựng vào thế kỉ XIX, là biểu tượng lịch sử – văn hóa của Thủ đô.","Tháp Rùa là một công trình kiến trúc nhỏ nằm trên gò đất giữa hồ Hoàn Kiếm (Hồ Gươm), ở thành phố Hà Nội, là biểu tượng lịch sử – văn hóa của Thủ đô.",https://drive.google.com/file/d/16dR_HE24uY6mHrb30fWxwzZx3lzjy7CL/view?usp=sharing,,,{(không có từ đồng nghĩa trực tiếp)},{(không có từ trái nghĩa trực tiếp)},False,
185,cổ kính,cổ và có vẻ trang nghiêm,cổ và trang nghiêm,https://drive.google.com/file/d/11QdOaxl5RJvmdmFW67AsrLj1iqswzcdq/view?usp=sharing,,,"{cổ xưa,cổ lão,xưa cũ}","{hiện đại,mới mẻ}",True,*
186,ngân nga,(âm thanh) ngân như kéo dài mãi,âm thanh kéo dài ,,,https://drive.google.com/file/d/1yYECBpO2cY2zkoi2xwju5Gef74BLP2tQ/view?usp=drivesdk,"{du dương,trầm bổng,vang vọng}","{chói tai,ồn ào}",False,
187,vầng dương,mặt trời,mặt trời,mặt trời.jpg,,,"{mặt trời,thái dương}","{bóng tối,đêm tối}",False,
188,kim cương,"carbon ở dạng tinh thể óng ánh, rất cứng, dùng để cắt kính, làm đồ trang sức","carbon ở dạng tinh thể óng ánh, rất cứng, dùng để cắt kính, làm đồ trang sức",diamonds-8532020_1920.jpg,,,{hột xoàn},"{đá thường,đá sỏi}",False,
189,lấp lánh,"có ánh sáng phản chiếu không liên tục, nhưng đều đặn, vẻ sinh động
","Có ánh sáng phản chiếu, long lanh, đẹp và hấp dẫn",https://drive.google.com/file/d/1YICN2pp_0soK8h6oYYfOLYKZ38NG5hfz/view?usp=sharing,,,"{lung linh,long lanh,óng ánh}","{đen xì,tối om}",False,
190,ban mai,"buổi sáng, lúc sáng sớm",Lúc sáng sớm,https://drive.google.com/file/d/1lSED-G4v8FY6cHY5Mpl-pf8E1LsK2XxF/view?usp=drive_link,,,"{bình minh,rạng đông,tảng sáng}","{hoàng hôn,chiều tà}",False,
191,hiền hòa,hiền lành và ôn hoà ,hiền lành và ôn hoà,,, hiền hoà.mp4,"{hiền lành,dịu dàng,ôn hòa}","{dữ dằn,hung dữ}",False,
192,dập dờn,"chuyển động lúc lên lúc xuống, lúc ẩn lúc hiện, lúc gần lúc xa nối tiếp nhau liên tiếp và nhịp nhàng",Chuyển động lúc ẩn lúc hiện,,, dập dờn.mp4,"{nhấp nhô,chập chờn,lượn sóng}","{đứng yên,bất động}",False,
193,chiền chiện,"chim cỡ nhỏ hơn chim sẻ, thường sống ở ruộng, bãi quang đãng, khi hót thường bay bổng lên cao.","loài chim cỡ nhỏ, thường sống ở ruộng, bãi quang đãng",chim chiền chiện,,,"{chim sơn ca,chim hót}",{(không có từ trái nghĩa trực tiếp)},False,
194,tích ri tích rích,tiếng kêu nhỏ liên tiếp của chim chiền chiện,Tiếng kêu của chim chiền chiện,,, tích ri tích rích.mp4,"{líu lo,ríu rít,lích chích}","{im lặng,yên ắng}",False,
195,ngân nga,(âm thanh) ngân như kéo dài mãi,âm thanh kéo dài,,*,https://drive.google.com/file/d/1yYECBpO2cY2zkoi2xwju5Gef74BLP2tQ/view?usp=drivesdk,"{du dương,trầm bổng,vang vọng}","{chói tai,ồn ào}",False,
196,mênh mông,rộng lớn đến mức như không có giới hạn,"Rất rộng lớn, bao la",rita2000-wheat-9666681_1920.jpg,,,"{bát ngát,bao la,rộng lớn}","{chật hẹp,nhỏ bé}",False,
